user_id,sex,age
1369335,M,50
2965149,F,40
2107571,F,50
22182386,F,50
3082967,F,40
2726117,F,50
27755604,M,40
4896317,F,40
2606651,M,50
4280764,M,40
5899129,F,40
6490669,F,30
1049186,F,50
1045864,M,50
9536357,F,50
9316810,F,50
1649689,F,50
2526078,F,50
21028290,F,40
3549476,F,40
4854346,F,40
10147700,F,60
11661085,F,70
4767149,F,40
9103372,F,40
21867359,F,40
2527490,M,50
5312229,F,40
2653161,M,50
22664734,M,30
2941635,M,40
7066820,F,30
3600680,F,40
1993554,F,50
10202258,M,50
9323153,F,60
4762133,F,40
3594341,M,40
3631933,F,40
1346472,F,50
5416290,F,40
905396,F,60
7814765,F,30
3838980,F,40
6198370,M,30
21350670,M,30
833970,F,60
8050505,F,30
1932528,M,50
3020800,F,40
1928962,F,50
3396041,M,40
22000892,F,40
1049998,F,50
4824182,M,40
2955049,F,40
8372187,F,30
3966146,F,40
2513025,M,50
7997193,F,30
10646793,F,80
4676831,M,40
5111309,F,40
5408987,F,40
26706601,F,50
2918006,M,40
2528426,F,50
383398,F,60
21037751,F,40
29713174,M,20
894716,F,60
5465418,M,40
3226011,F,40
23876414,F,30
219871,M,70
11914350,F,60
7019992,F,30
3885176,F,40
3103289,F,40
11858210,F,50
3700162,F,40
3434589,F,40
19064431,M,40
11639582,F,50
1969798,F,50
6203589,F,30
3751207,F,40
3358699,M,40
10763977,F,50
24720715,M,40
20329534,F,60
6019522,M,30
10800573,F,50
6386655,M,30
9736865,F,50
3653131,F,40
1329099,M,50
929540,M,60
1855562,M,50
10727357,M,30
9919072,F,50
9428678,F,40
30947696,M,30
1098386,F,50
1749577,F,50
3194607,F,40
2570862,F,50
3802775,F,40
21000184,F,50
6334635,F,30
22050964,F,50
1590874,F,50
7075424,F,30
2926918,M,40
5704468,F,40
1861097,M,50
9055949,F,40
24982822,M,40
637451,M,60
27136529,F,40
9657297,F,60
9301470,M,50
3312924,F,40
3414311,F,40
5803762,F,40
9845874,F,50
10585413,M,40
4778867,F,40
27939908,M,30
936220,F,60
21173558,F,20
2887673,F,50
4494793,F,40
24848221,F,30
6571607,M,30
28733933,M,20
5149846,F,40
3147469,F,40
5612245,F,40
4297635,F,40
212567,F,70
10138202,M,30
1492759,M,50
9557859,M,30
2389785,F,50
3406011,M,40
3143017,F,40
9299643,M,50
3275687,M,40
5384635,F,40
1771825,F,50
955819,F,60
336145,M,60
2691329,F,50
318705,F,60
7015663,M,30
27984470,F,30
9987328,F,40
4315954,F,40
1718918,M,50
1735953,F,50
8217088,F,30
1174217,M,50
6228316,F,30
1952460,F,50
9182552,M,50
4978299,M,40
602147,F,60
5460887,F,40
4923157,M,40
21995865,M,30
4247139,F,40
10530984,M,80
3550410,F,40
9721494,F,30
5545910,M,40
2234284,F,50
5899871,F,40
21327970,F,40
10511147,F,50
4684429,F,40
2966189,F,40
5456564,M,40
7068632,F,30
292508,F,60
235768,F,70
9634667,F,40
4215727,F,40
832447,F,60
2556079,F,50
1987785,M,50
3464951,F,40
2581727,F,50
10969833,F,80
2985485,F,40
20968780,M,30
29167417,M,40
3832808,F,40
3474487,M,40
9394962,M,50
9453491,M,40
4899838,M,40
9790337,F,40
6040064,F,30
5110142,F,40
10465044,F,40
9104042,F,50
603035,M,60
6042753,M,30
1951571,M,50
10424374,F,40
21755113,M,50
157322,F,70
3831433,F,40
9279487,F,40
5723089,F,40
1419725,M,50
932433,F,60
1792821,F,50
1735577,F,50
9020634,F,40
21964740,F,60
3128702,F,40
3158670,F,40
9295451,F,40
4559962,F,40
6034592,F,30
9588307,F,50
4255997,F,40
7005154,F,30
10398903,F,50
5301906,M,40
2830799,F,50
132034,M,70
2442474,F,50
9468903,F,60
3410343,F,40
3223673,F,40
342474,F,60
4466564,F,40
10680194,M,50
3349589,F,40
10367960,F,40
