item_id,large_category
26615000,fish
30626000,vegetable
23917000,vegetable
26563000,vegetable
1294201000,dried_seafood
32463000,fruit
1030385000,instant
1091055000,daily
30782000,beef
1150243000,frozen_food
1351480000,interior
1095722000,liquor
1231013000,hygiene_product
1272633000,cracker
1294609000,frozen_food
1483016000,cracker
8750000,vegetable
1349765000,frozen_food
10865000,pork
1418529000,cracker
1360367000,cracker
50554000,fruit
25461000,chicken
33167000,vegetable
23081000,fish
1374958000,cracker
5686483001,chandlery
1306931000,daily
30661000,vegetable
1401366000,H&B
25285000,vegetable
1216859000,instant
1316172000,cracker
1048397000,daily
1037000,beef
1026433000,stationery
1299141000,stationery
15041000,prepared_food
1211111000,vegetable
1324506000,cracker
4626000,fruit
2747000,vegetable
1107115000,frozen_food
14303000,chicken
1471342000,pet&home_and_garden
21919000,fruit
9214000,vegetable
30712000,fish
1214665000,instant
30807000,pork
14354000,vegetable
31312000,fruit
21216000,fish
33379000,vegetable
10237000,vegetable
1340233000,dried_seafood
1183516000,beverage
33080000,vegetable
1331561000,tea
1287703000,chicken
1335777000,liquor
1050057000,kitchenalia
1049746000,vehicle
13757000,fruit
1074760000,vehicle
1306698000,kitchenalia
1250424000,pet&home_and_garden
1038374000,interior
1060644000,tea
1314117000,cracker
1376503000,cracker
1377987000,cracker
32089000,fruit
1101621000,daily
1143651000,instant
22624000,vegetable
1124863000,daily
1484943000,cracker
1322726000,daily
1289857000,kitchenalia
1290282000,cracker
1486190000,daily
30651000,vegetable
1224701000,detergent
1289860000,kitchenalia
1351923000,cracker
1528912000,cracker
23580000,vegetable
1030386000,instant
32578000,vegetable
1291343000,daily
1387288000,daily
1479820000,beverage
1084465000,cracker
1366588000,daily
24651000,vegetable
30732000,fish
30718000,fish
26661000,fish
26400000,vegetable
1357939000,vegetable
1479381000,cracker
1319921000,daily
13640000,fruit
1489585000,daily
1466067000,cracker
1397777000,cracker
1326061000,beverage
1494402000,liquor
1494512000,frozen_food
1152540000,daily
1464748000,vegetable
1187259000,daily
1058619000,H&B
30937000,beef
2907000,fish
14497000,fish
22770000,fish
30770000,fish
18464000,vegetable
1327647000,cracker
1257849000,grain
1473964000,frozen_food
2911000,fish
25410000,fruit
1269127000,frozen_food
22699000,vegetable
1294022000,cracker
21067000,vegetable
30983000,vegetable
1294075000,cracker
1183920000,kitchenalia
1289393000,cracker
1186973000,kitchenalia
1288818000,seasoned_food
1089478000,detergent
1464752000,vegetable
1163802000,daily
1095411000,stationery
1277319000,stationery
10229000,vegetable
1248896000,daily
1482397000,bathroom&cleaning
1049561000,H&B
22148000,prepared_food
1305155000,seasoned_food
1098542000,hygiene_product
1101941000,daily
1124449000,instant
1481266000,detergent
1395603000,daily
1339587000,kitchenalia
1381933000,liquor
1383019000,frozen_food
31038000,vegetable
1271862000,cracker
1230830000,cracker
1105055000,daily
30984000,vegetable
21823000,fish
1176833000,H&B
1176832000,H&B
1336519000,detergent
1112792000,seasoned_food
1336521000,detergent
1050918000,detergent
1376441000,cracker
1376445000,cracker
1376444000,cracker
1292346000,daily
1286461000,hygiene_product
1012561000,grain
1383591000,daily
1177417000,dried_seafood
33085000,fruit
1257907000,cracker
1383814000,daily
7157000,prepared_food
1175798000,cracker
30676000,vegetable
1501027000,vegetable
1051957000,instant
1342959000,frozen_food
1486379000,dried_seafood
1118858000,chicken
1030388000,instant
16446000,vegetable
1230917000,daily
1106695000,beverage
26601000,prepared_food
51066000,prepared_food
20920000,fruit
1301666000,daily
30731000,fish
30721000,fish
21746000,fruit
32911000,vegetable
20291000,vegetable
1471859000,dried_seafood
30714000,fish
20743000,chicken
1224810000,dried_seafood
24776000,prepared_food
1291995000,cracker
1299279000,cracker
32537000,vegetable
1319924000,daily
19838000,prepared_food
1377647000,seasoned_food
30806000,pork
1298960000,vegetable
1199000000,grain
1245341000,grain
1104364000,seasoned_food
1133538000,seasoned_food
1104363000,seasoned_food
1472321000,chicken
1076326000,daily
1378431000,daily
17600000,prepared_food
1409187000,dried_seafood
25649000,prepared_food
51287000,vegetable
1070095000,pet&home_and_garden
30359000,prepared_food
1329492000,cracker
1072133000,tea
1177672000,bathroom&cleaning
30811000,pork
1337625000,cracker
1070131000,tea
1309008000,daily
1270892000,beverage
1386710000,beverage
1251246000,tea
