SA,SD,PA,PI,LR,HC,fuel,bus_num,file_index
2,6,98,0,274,2480,14.651,##########kd000010,0_3
5,14,353,0,605,2894,24.255,##########kd000010,0_6
0,1,165,0,0,2618,16.992,##########kd000010,0_7
0,0,35,0,0,942,7.648,##########kd000010,1_9
0,0,42,0,0,2330,15.656,##########kd000010,1_10
3,1,92,0,225,3442,18.317,##########kd000010,1_12
0,3,55,0,0,3303,15.313,##########kd000108,2_5
2,6,98,0,274,2480,14.651,##########kd000010,0_3
5,14,353,0,605,2894,24.255,##########kd000010,0_6
0,1,165,0,0,2618,16.992,##########kd000010,0_7
0,0,35,0,0,942,7.648,##########kd000010,1_9
0,0,42,0,0,2330,15.656,##########kd000010,1_10
3,1,92,0,225,3442,18.317,##########kd000010,1_12
0,3,55,0,0,3303,15.313,##########kd000108,2_5
1,4,205,0,225,536,6.447,##########kd000010,3_2
0,0,114,0,0,2633,16.788,##########kd000010,3_3
0,0,43,0,0,1384,7.965,##########kd000010,3_18
2,3,224,0,164,3388,22.591,##########kd000010,4_6
17,38,487,0,650,2605,21.096,##########kd000010,5_4
6,2,61,80,223,3320,18.214,##########kd000010,8_4
1,0,31,0,0,1076,8.189,##########kd000010,8_15
0,0,53,0,0,4126,24.65,##########kd000010,8_16
0,0,35,0,0,1428,8.8,##########kd000010,8_17
1,0,94,0,129,1421,9.443,##########kd000010,9_9
0,0,48,0,0,2995,18.498,##########kd000010,9_10
0,0,14,0,0,2272,10.524,##########kd000010,9_11
0,8,195,0,152,2470,16.377,##########kd000010,10_3
1,0,85,0,257,4509,23.643,##########kd000010,10_5
1,7,99,0,211,1314,7.817,##########kd000010,11_2
0,0,98,0,0,2240,14.25,##########kd000010,11_9
3,10,347,0,139,2052,17.371,##########kd000010,12_7
13,18,266,220,924,3277,21.012,##########kd000108,13_4
0,0,75,0,0,3313,16.768,##########kd000108,13_7
2,5,270,0,206,3040,18.495,##########kd000108,13_11
1,0,126,0,149,2063,14.306,##########kd000108,14_4
0,0,14,0,0,1826,11.094,##########kd000108,14_5
0,11,353,0,1730,1594,14.229,##########kd000108,14_11
2,1,168,0,89,2447,17.519,##########kd000108,14_13
0,0,12,0,0,1004,6.035,##########kd000010,15_5
3,9,167,0,329,2018,13.886,##########kd000108,16_5
0,4,33,0,0,1756,11.269,##########kd000108,16_7
10,13,111,212,611,3265,19.991,##########kd000108,16_10
0,0,18,0,0,2344,12.955,##########kd000108,17_7
2,3,150,83,449,1804,12.62,##########kd000108,17_11
0,0,12,0,0,1452,7.32,##########kd000058,18_6
0,1,0,0,81,1816,8.053,##########kd000058,19_5
11,11,285,352,1151,1992,13.183,##########kd000058,19_6
18,13,195,1154,2413,2058,13.637,##########kd000058,20_4
0,1,245,0,140,3487,21.726,##########kd000058,20_6
0,3,210,0,75,3798,24.788,##########kd000058,21_3
10,22,466,274,1580,2806,20.569,##########kd000058,21_4
2,9,194,77,299,3316,18.51,##########kd000058,22_4
0,1,134,0,0,3016,20.678,##########kd000058,23_4
0,2,0,0,0,960,5.67,##########kd000058,23_5
1,1,95,0,0,1302,10.87,##########kd000058,23_17
3,16,219,0,288,3936,23.986,##########kd000107,24_2
0,2,119,0,0,1614,11.625,##########kd000058,25_4
0,1,8,0,0,1467,9.183,##########kd000058,25_5
0,0,21,0,0,1359,6.096,##########kd000058,25_7
0,0,9,0,0,1401,7.039,##########kd000058,25_8
0,1,138,0,0,3095,17.885,##########kd000058,25_16
4,4,233,0,423,3087,19.292,##########kd000058,26_12
0,0,102,0,0,2797,15.701,##########kd000058,27_11
0,0,23,0,0,2832,14.123,##########kd000058,28_7
38,46,620,0,1838,1588,19.815,##########kd000113,29_3
2,2,82,0,362,3780,23.266,##########kd000113,29_5
4,10,84,0,84,1401,9.209,##########kd000113,29_6
7,14,287,0,561,1897,14.91,##########kd000113,29_11
2,3,195,0,0,3179,23.868,##########kd000058,30_11
0,4,10,0,0,1910,10.728,##########kd000058,30_12
2,7,41,0,0,1646,9.286,##########kd000058,30_14
0,0,23,0,0,3248,16.564,##########kd000058,31_6
0,0,109,0,0,2730,16.661,##########kd000058,31_12
12,7,129,96,1110,2106,12.793,##########kd000058,32_4
0,2,77,0,0,3497,19.41,##########kd000058,32_7
8,6,116,323,668,3363,16.597,##########kd000058,32_8
0,0,105,0,0,1909,10.889,##########kd000058,32_13
0,0,42,0,0,3338,16.886,##########kd000058,33_7
