TimeStamp,Saturator1_exp_CaO,Saturator2_exp_CaO,Saturator3_exp_CaO
2021-01-01 09:00:00,590.0,2696.0,759.0
2021-01-02 09:00:00,507.0,2507.0,1684.0
2021-01-03 09:00:00,696.0,862.0,483.0
2021-01-04 09:00:00,543.0,1635.0,684.0
2021-01-05 09:00:00,445.0,1449.0,657.0
2021-01-06 09:00:00,480.0,1653.0,664.0
2021-01-07 09:00:00,849.0,930.0,557.0
2021-01-08 09:00:00,636.0,1481.0,432.0
2021-01-09 09:00:00,653.0,1024.0,521.0
2021-01-10 09:00:00,847.0,1525.0,425.0
2021-01-11 09:00:00,496.0,1238.0,549.0
2021-01-12 09:00:00,526.0,1374.0,525.0
2021-01-13 09:00:00,463.0,1054.0,520.0
2021-01-14 09:00:00,385.0,999.0,561.0
2021-01-15 09:00:00,494.0,1271.0,550.0
2021-01-16 09:00:00,601.0,1633.0,523.0
2021-01-17 09:00:00,706.0,1981.0,492.0
2021-01-18 09:00:00,504.0,1432.0,468.0
2021-01-19 09:00:00,449.0,2093.0,502.0
2021-01-20 09:00:00,461.0,1462.0,407.0
2021-01-21 09:00:00,528.0,1650.0,522.0
2021-01-22 09:00:00,545.0,1598.0,525.0
2021-01-23 09:00:00,254.0,1217.0,353.0
2021-01-24 09:00:00,515.0,1638.0,477.0
2021-01-25 09:00:00,736.0,1467.0,476.0
2021-01-26 09:00:00,571.0,1324.0,503.0
2021-01-27 09:00:00,652.0,1799.0,614.0
2021-01-28 09:00:00,566.0,1975.0,503.0
2021-01-29 09:00:00,595.0,1932.0,525.0
2021-01-30 09:00:00,426.0,1585.0,446.0
2021-01-31 09:00:00,646.0,1639.0,644.0
2021-02-01 09:00:00,574.0,1246.0,609.0
2021-02-02 09:00:00,762.0,1104.0,578.0
2021-02-03 09:00:00,366.0,1041.0,416.0
2021-02-04 09:00:00,406.0,1429.0,438.0
2021-02-16 09:00:00,1928.0,2792.0,1340.0
2021-02-17 09:00:00,738.0,1017.0,585.0
2021-02-18 09:00:00,1001.0,746.0,427.0
2021-02-19 09:00:00,870.0,709.0,394.0
2021-02-20 09:00:00,1157.0,697.0,421.0
2021-02-21 09:00:00,565.0,563.0,332.0
2021-02-22 09:00:00,841.0,559.0,297.0
2021-02-23 09:00:00,819.0,720.0,360.0
2021-03-01 09:00:00,979.0,801.0,328.0
2021-03-02 09:00:00,719.0,709.0,304.0
2021-03-03 09:00:00,477.0,431.0,238.0
2021-03-04 09:00:00,525.0,421.0,256.0
2021-03-05 09:00:00,497.0,572.0,220.0
2021-03-06 09:00:00,634.0,604.0,248.0
2021-03-07 09:00:00,540.0,586.0,222.0
2021-03-08 09:00:00,506.0,553.0,188.0
2021-03-09 09:00:00,530.0,553.0,241.0
2021-03-10 09:00:00,561.0,581.0,239.0
2021-03-11 09:00:00,469.0,413.0,161.0
2021-03-12 09:00:00,513.0,585.0,266.0
2021-03-13 09:00:00,617.0,544.0,232.0
2021-03-14 09:00:00,514.0,442.0,185.0
2021-03-15 09:00:00,720.0,714.0,346.0
2021-03-16 09:00:00,712.0,675.0,267.0
2021-03-17 09:00:00,726.0,537.0,240.0
2021-03-18 09:00:00,558.0,507.0,272.0
2021-03-19 09:00:00,532.0,474.0,237.0
2021-03-20 09:00:00,581.0,592.0,178.0
2021-03-21 09:00:00,428.0,476.0,214.0
2021-03-22 09:00:00,561.0,573.0,208.0
2021-03-23 09:00:00,569.0,676.0,339.0
2021-03-24 09:00:00,759.0,1279.0,310.0
2021-03-25 09:00:00,724.0,678.0,338.0
2021-03-26 09:00:00,731.0,782.0,315.0
2021-03-27 09:00:00,638.0,519.0,137.0
2021-03-28 09:00:00,558.0,454.0,297.0
2021-03-29 09:00:00,603.0,574.0,249.0
2021-03-30 09:00:00,615.0,656.0,228.0
2021-03-31 09:00:00,730.0,625.0,371.0
2021-04-01 09:00:00,612.0,595.0,317.0
2021-04-02 09:00:00,737.0,687.0,374.0
2021-04-03 09:00:00,745.0,694.0,384.0
2021-04-04 09:00:00,876.0,785.0,413.0
2021-04-05 09:00:00,536.0,419.0,344.0
2021-04-06 09:00:00,791.0,709.0,398.0
2021-04-07 09:00:00,992.0,1007.0,599.0
2021-04-08 09:00:00,985.0,814.0,389.0
2021-04-09 09:00:00,946.0,695.0,339.0
2021-04-10 09:00:00,628.0,592.0,355.0
2021-04-11 09:00:00,1026.0,872.0,418.0
2021-04-12 09:00:00,511.0,620.0,388.0
2021-04-13 09:00:00,677.0,711.0,359.0
2021-04-14 09:00:00,707.0,704.0,398.0
2021-04-15 09:00:00,722.0,757.0,385.0
2021-04-16 09:00:00,828.0,858.0,465.0
2021-04-17 09:00:00,778.0,806.0,454.0
2021-04-18 09:00:00,755.0,982.0,451.0
2021-04-19 09:00:00,688.0,713.0,362.0
2021-04-20 09:00:00,528.0,822.0,269.0
2021-04-21 09:00:00,605.0,852.0,362.0
2021-04-22 09:00:00,521.0,771.0,384.0
2021-04-23 09:00:00,948.0,757.0,471.0
2021-04-24 09:00:00,685.0,931.0,399.0
2021-04-25 09:00:00,627.0,1019.0,413.0
2021-04-26 09:00:00,467.0,663.0,360.0
2021-04-27 09:00:00,480.0,585.0,277.0
2021-04-28 09:00:00,625.0,785.0,243.0
2021-04-29 09:00:00,633.0,617.0,265.0
2021-04-30 09:00:00,861.0,740.0,404.0
2021-05-01 09:00:00,488.0,594.0,301.0
2021-05-02 09:00:00,643.0,618.0,253.0
2021-05-03 09:00:00,382.0,449.0,245.0
2021-05-04 09:00:00,514.0,566.0,278.0
2021-05-05 09:00:00,365.0,506.0,193.0
2021-05-06 09:00:00,528.0,652.0,267.0
2021-05-07 09:00:00,403.0,507.0,209.0
2021-05-09 09:00:00,512.0,610.0,291.0
2021-05-11 09:00:00,987.0,1182.0,551.0
2021-05-12 09:00:00,500.0,550.0,237.0
2021-05-13 09:00:00,859.0,1063.0,599.0
2021-05-14 09:00:00,533.0,678.0,224.0
2021-05-15 09:00:00,625.0,535.0,239.0
2021-05-16 09:00:00,452.0,445.0,234.0
2021-05-17 09:00:00,643.0,633.0,262.0
2021-05-18 09:00:00,634.0,578.0,254.0
2021-05-19 09:00:00,510.0,478.0,232.0
2021-05-20 09:00:00,657.0,571.0,232.0
2021-05-21 09:00:00,518.0,468.0,197.0
2021-05-24 09:00:00,740.0,711.0,334.0
2021-05-25 09:00:00,376.0,399.0,186.0
2021-05-26 09:00:00,715.0,670.0,255.0
2021-05-27 09:00:00,497.0,573.0,216.0
2021-05-28 09:00:00,563.0,545.0,198.0
2021-05-31 09:00:00,848.0,834.0,444.0
